masterid,stationcode,latitude,longitude
114CE0131,114CE0131,38.78972,-123.19638
114CE0183,114CE0183,38.50722,-122.75694
114CE0259,114CE0259,38.80456,-122.82664
114CE0283,114CE0283,39.26083,-123.11083000000001
114CE0291,114CE0291,38.81,-122.92444
114CE0535,114CE0535,38.39805,-122.86694
114CE0567,114CE0567,38.425,-122.65888
114CE0603,114CE0603,39.24027,-123.32416
114CE0695,114CE0695,38.43611,-122.72888
114CR0903,114CR0903,38.81627,-123.01119
114DBCR1x,114DBCR1x,38.4428,-122.9916
114DBCR4x,114DBCR4x,38.4441,-122.9775
114DBCR7x,114DBCR7x,38.4184,-122.95
114DCLRxx,114DCLRxx,38.95536,-123.14761
114DCURxx,114DCURxx,38.95381,-123.14825
114DLCLRx,114DLCLRx,39.13153,-123.211
114DLCMRx,114DLCMRx,39.12817,-123.22369
114DLCURx,114DLCURx,39.12889,-123.23028
114DVCR1x,114DVCR1x,38.59747,-123.07792
114EACR4x,114EACR4x,38.55953,-123.05517
114EACR6x,114EACR6x,38.5923,-123.0627
114FCA002,114FCA002,38.50417,-122.78806
114FCA031,114FCA031,38.81627,-123.01119
114FCA199,114FCA199,38.83,-122.90806
114FCASCx,114FCASCx,38.82916,-122.91117
114FCR2xx,114FCR2xx,38.58139,-122.88258
114FCR3xx,114FCR3xx,38.581,-122.88276
114FCR4xx,114FCR4xx,38.58085,-122.88326
114FCT1xx,114FCT1xx,38.82914,-122.91639
114FCT2xx,114FCT2xx,38.83367,-122.92325
114GBCLRx,114GBCLRx,39.15075,-123.21619
114GBCURx,114GBCURx,39.14972,-123.22889
114GCR2xx,114GCR2xx,39.37343,-120.02822
114GCR3xx,114GCR3xx,38.5644,-123.044
114GV3469,114GV3469,38.46384,-122.90424
114GV5331,114GV5331,38.44469,-122.88773
114HCASCx,114HCASCx,38.821,-122.95419
114JCADCx,114JCADCx,38.9625,-123.15083
114JSCARR,114JSCARR,39.27477,-123.31294
114JVCLRx,114JVCLRx,38.40108,-122.86244
114JVCURx,114JVCURx,38.37972,-122.89056
114KDCLRx,114KDCLRx,38.49813,-123.07328
114KDCURx,114KDCURx,38.50092,-123.08764
114KLCT41,114KLCT41,38.64413,-122.66346
114KLCT42,114KLCT42,38.6414,-122.6641
114KLCT53,114KLCT53,38.6438,-122.66015
114LBCR2x,114LBCR2x,38.6857,-122.7196
114MA2364,114MA2364,38.63048,-122.76788
114MCR1xx,114MCR1xx,38.58492,-122.87572
114MCR2xx,114MCR2xx,38.584,-122.88736
114MCR3xx,114MCR3xx,38.59473,-122.91599
114MCR4xx,114MCR4xx,38.58925,-122.95483
114MCR8xx,114MCR8xx,38.59434,-122.91674
114MJCAWR,114MJCAWR,38.51478,-122.90522
114MLCLRx,114MLCLRx,39.13142,-123.15542
114MLCNFL,114MLCNFL,39.13214,-123.15267
114MLCNFU,114MLCNFU,39.13778,-123.13417
114MLCURx,114MLCURx,39.13111,-123.13444
114MPCLRx,114MPCLRx,39.32975,-123.23339
114MPCURx,114MPCURx,39.33444,-123.23583000000001
114MRCMRx,114MRCMRx,39.06608,-123.12056
114MRCURX,114MRCURX,39.06208,-123.08219
114MW8213,114MW8213,38.50709,-122.64294
114MW8747,114MW8747,38.52074,-122.62527
114MWCMWS,114MWCMWS,38.54206,-122.72017
114MWCR1x,114MWCR1x,38.4939,-122.88979
114MWCR4x,114MWCR4x,38.49346,-122.88923
114MWCR5x,114MWCR5x,38.49317,-122.88892
114MWCR6x,114MWCR6x,38.49278,-122.88874
114OVCOVx,114OVCOVx,38.83514,-123.05125
114PCLRxx,114PCLRxx,38.90344,-123.01836
114PCR1xx,114PCR1xx,38.57867,-122.94258
114PCR2xx,114PCR2xx,38.57367,-122.95706
114PS0088,114PS0088,38.5574,-123.0942
114PS0145,114PS0145,38.8936,-123.07073
114PS0149,114PS0149,38.43414,-122.67608
114PS0152,114PS0152,38.46342,-123.00871
114PS0209,114PS0209,38.78599,-123.15521
114PS0229,114PS0229,38.61538,-122.78391
114PS0289,114PS0289,38.7761005,-122.989837
114PS0344,114PS0344,38.5127469,-123.0766647
114PS0373,114PS0373,38.58423949,-122.8771363
114PS0405,114PS0405,38.45224229,-122.6775103
114RR1041,114RR1041,38.47718,-122.98987
114RR1310,114RR1310,38.49946,-123.0016
114RR1599,114RR1599,38.50504,-122.96825
114RR2678,114RR2678,38.56326,-122.85302
114RR2769,114RR2769,38.57671,-122.85724
114RR2899,114RR2899,38.59716,-122.85786
114RREFCC,114RREFCC,39.25139,-123.11833
114RRWCLR,114RRWCLR,38.66559,-122.95053
114RRWCUR,114RRWCUR,38.66304,-122.95647
114RWCAJC,114RWCAJC,38.39361,-122.88827
114SCR1xx,114SCR1xx,38.45628,-123.09022
114SCR2xx,114SCR2xx,38.44944,-123.08944
114SHCLRx,114SHCLRx,39.25644,-123.19969
114SHCNFx,114SHCNFx,39.26014,-123.19775
114SHCURx,114SHCURx,39.25664,-123.19406
114SQCLRx,114SQCLRx,38.82467,-122.87636
114SQCURx,114SQCURx,38.818,-122.80067
114SRCH12,114SRCH12,38.46148,-122.66083
114STCAJC,114STCAJC,38.38389,-122.87528
114SUCR1x,114SUCR1x,38.61869,-123.08881
114TCRxxx,114TCRxxx,38.57083,-123.035
114UNCSRC,114UNCSRC,38.44808,-122.62448
114WDCR5x,114WDCR5x,38.5365,-123.13769
114WE0614,114WE0614,38.53917,-123.07056
114WE0810,114WE0810,38.87519,-122.88173
114WE1048,114WE1048,38.50417,-122.7871
114WER118,114WER118,38.5875,-123.06222
114WICR1x,114WICR1x,38.43589,-123.08511
114WICR2x,114WICR2x,38.42906,-123.06183
114WICR3x,114WICR3x,38.42297,-123.04847
114WICR4x,114WICR4x,38.41831,-123.01272
114WLCR1x,114WLCR1x,38.59883,-122.91925
114WNMDxx,114WNMDxx,38.66514,-122.9509
114YCLRxx,114YCLRxx,39.20253,-123.20269
114YCMRxx,114YCMRxx,39.22056,-123.23056
114YCURxx,114YCURxx,39.23444,-123.28139
