masterid,sampledate,XSLOPE,PCT_FN,PCT_HP
516PS0014,2008-08-11T07:00:00Z,0.6,9,0
517LCCAYB,2008-08-12T07:00:00Z,2.3,2,0
517PS0030,2009-07-22T07:00:00Z,0,5,1
517PS0039,2009-07-01T07:00:00Z,1.8,20,0
517PS0132,2009-07-01T07:00:00Z,NA,6,0
518CPCRCR,2008-08-14T07:00:00Z,3.5,0,0
518GZCUPx,2008-08-20T07:00:00Z,1.3,2,0
518PS0001,2008-07-28T07:00:00Z,4.7,0,0
518PS0001,2008-08-19T07:00:00Z,6.4,0,0
518PS0017,2008-08-19T07:00:00Z,1.5,1,0
518PS0029,2009-06-30T07:00:00Z,4.8,0,0
518PS0029,2009-07-22T07:00:00Z,3.1,1,0
518PS0033,2009-06-29T07:00:00Z,8.9,0,0
518PS0045,2009-07-21T07:00:00Z,5.7,0,0
518RCNAPC,2008-08-06T07:00:00Z,2.4,0,0
518RCNAPC,2009-05-20T07:00:00Z,NA,2,0
518RCNAPC,2009-06-16T07:00:00Z,NA,0,2
518RCNAPC,2009-08-11T07:00:00Z,2.1,0,0
518RCNAPC,2009-09-09T07:00:00Z,NA,0,3
518RCNAPC,2009-10-21T07:00:00Z,NA,0,0
519MNRASR,2008-07-09T07:00:00Z,2.3,9,0
519PS0002,2008-06-26T07:00:00Z,0.3,1,0
519PS0002,2008-07-17T07:00:00Z,0.3,0,0
519PS0002,2009-07-22T07:00:00Z,0.5,13,0
519PS0134,2008-07-07T07:00:00Z,0.1,94,3
519PS0194,2009-09-10T07:00:00Z,0.6,3,10
519PS0198,2009-07-15T07:00:00Z,0.2,21,0
519PS0253,2009-07-23T07:00:00Z,0.7,26,5
519SCRAMR,2008-07-09T07:00:00Z,1.4,12,0
519SCRAMR,2008-09-22T07:00:00Z,1.6,9,0
520PS0007,2008-06-26T07:00:00Z,0,0,40
520PS0007,2008-07-08T07:00:00Z,NA,2,30
520PS0054,2008-06-30T07:00:00Z,0.1,100,0
520PS0071,2008-07-31T07:00:00Z,0.1,51,0
520PS0135,2009-07-29T07:00:00Z,0.9,10,31
520PS0202,2009-06-18T07:00:00Z,0.3,84,2
521BTCLBC,2008-08-07T07:00:00Z,1.4,23,0
522GSCBSC,2009-09-24T07:00:00Z,1.8,2,0
522MFSCRB,2008-09-18T07:00:00Z,2.1,0,0
523TMCATG,2009-10-05T07:00:00Z,4.1,6,0
526PS0072,2008-08-27T07:00:00Z,1.7,7,0
526PS0072,2008-09-23T07:00:00Z,1.9,13,0
526PS0072,2009-09-21T07:00:00Z,1.2,8,1
526PS0076,2008-08-26T07:00:00Z,6.3,2,0
526PS0220,2008-08-25T07:00:00Z,1.9,0,0
526PS0228,2008-08-28T07:00:00Z,0,100,0
526PS0344,2009-09-02T07:00:00Z,0.7,30,0
526PS0356,2009-08-11T07:00:00Z,0,79,0
526PS0396,2009-09-01T07:00:00Z,2.2,11,1
526PS0440,2009-09-02T07:00:00Z,2,19,0
526PS0472,2009-09-01T07:00:00Z,0.1,57,7
526PS0504,2009-09-02T07:00:00Z,3,10,0
526PSCBBL,2008-08-27T07:00:00Z,4.7,14,0
526PSCBBL,2008-09-23T07:00:00Z,NA,16,0
